date,time,lat,lon,depth,ML
1985/12/24,42:45.9,23.733,122.4548,2.27,5.35
1986/1/16,04:32.0,24.7628,121.9612,10.22,6.09
1986/1/20,28:24.5,24.8455,122.3498,17.42,5.11
1986/1/28,19:21.2,23.3785,120.429,11.99,5.06
1986/2/27,23:09.1,23.9107,122.4673,7.2,5.6
1986/2/27,36:54.0,23.8858,122.4423,8.21,5.09
1986/3/11,23:43.9,23.942,122.4938,21.01,5.18
1986/3/22,45:31.6,23.3558,121.7365,28.45,5.89
1986/3/23,09:05.4,24.8472,122.2142,16.25,5.12
1986/3/24,10:51.6,24.8115,122.4755,9.02,5.2
1986/3/24,31:03.2,24.8235,122.2053,2,5.08
1986/4/22,50:35.2,24.5615,122.32,3.4,5.03
1986/5/8,59:07.9,23.9653,121.0962,12.6,5.06
1986/5/18,33:36.7,24.7943,122.497,9.43,5.19
1986/5/20,37:31.7,24.0482,121.6173,21.84,5.76
1986/5/20,25:49.6,24.0817,121.5915,15.82,6.1
1986/5/22,00:03.2,24.0708,121.5498,15.6,5.01
1986/5/22,47:22.0,23.966,121.6962,1.25,5.48
1986/5/24,02:08.8,24.0457,121.6747,0.55,5.39
1986/5/24,58:14.0,24.0393,121.6443,2.39,5.39
1986/5/28,57:19.2,23.8905,121.6725,1.13,5
1986/6/4,43:14.3,23.9497,121.681,0.34,5.02
1986/6/4,20:56.7,23.9362,121.6837,1.41,5.28
1986/6/6,47:54.4,22.335,121.077,11.72,5.12
1986/7/30,31:47.5,24.6288,121.7942,1.55,5.82
1986/8/11,05:58.8,22.3985,121.53,112.56,5.8
1986/9/27,36:35.4,22.5303,121.0583,0.57,5.37
1986/9/28,02:55.7,21.6968,121.6605,1,5.04
1986/11/6,11:06.6,24.6532,122.4285,0.52,5.29
1986/11/14,04:37.1,23.866,121.711,33,6.3
1986/11/14,34:22.7,24.042,121.956,33,5.6
1986/11/14,20:04.5,23.992,121.833,15,6.8
1986/11/15,12:51.9,23.8922,121.9985,32.48,5.06
1986/11/15,24:07.1,23.9013,121.693,14.2,5.67
1986/11/15,00:02.2,23.9745,121.743,14.29,5.34
1986/11/16,13:58.0,23.8327,121.7733,13.07,5.06
1986/11/18,49:13.1,23.9232,121.8748,13.46,5.55
1986/11/19,26:52.5,23.9998,121.9005,13.96,5.08
1986/11/26,49:44.7,24.1717,121.8592,30.23,5.19
1986/11/29,50:03.4,22.4855,121.0483,5.92,5.16
1986/11/30,03:51.9,23.9143,121.9082,16.59,5.42
1986/12/8,38:23.7,24.3048,121.9663,26.72,5.29
1986/12/10,55:22.2,25.03,121.6763,98.56,5.23
1986/12/21,42:51.8,25.2078,122.4507,243.69,5.02
1986/12/22,04:01.8,24.298,122.1413,11.87,5.13
1986/12/29,24:48.9,24.5613,122.4465,5.42,5.35
1987/1/6,07:48.6,23.9142,121.8405,28.61,5.73
1987/1/15,41:42.5,22.8535,120.0737,28.91,5.14
1987/2/4,15:23.6,24.4402,121.8972,69.22,5.16
1987/4/11,13:23.9,23.8558,122.2063,7.54,5.49
1987/4/17,10:54.0,24.3707,121.9958,23.44,5.05
1987/4/18,49:37.6,23.958,121.8487,28.65,5.34
1987/4/20,17:15.7,21.8867,120.5705,54.71,5.01
1987/4/25,18:09.2,21.8653,121.0948,25.12,6.29
1987/5/4,06:45.5,21.7495,121.9167,13.67,5.37
1987/5/14,30:58.8,22.5385,121.5932,3.86,5
1987/6/7,50:07.6,22.1233,121.0093,6.18,6.09
1987/6/27,38:55.7,24.3235,121.631,0.48,5.13
1987/7/12,18:10.9,22.6688,121.0013,1.93,5.18
1987/7/19,48:40.6,22.3732,120.3283,51.25,5.08
1987/8/3,07:51.3,21.9042,119.9108,79.56,5.26
1987/9/7,09:35.3,21.6243,119.864,71.41,5.26
1987/10/14,37:34.8,21.7142,121.5765,82.11,5.38
1987/12/18,53:40.8,23.3847,120.7827,1.92,5.16
1988/2/12,15:35.2,23.8128,122.4027,7.13,5.43
1988/3/3,21:19.8,23.8192,121.7677,9.76,5.05
1988/4/7,05:07.2,23.9795,121.6277,1.35,5.67
1988/4/7,24:35.4,23.92,121.6763,1.3,5.07
1988/4/11,35:15.9,23.22,121.4298,20.46,5.1
1988/4/24,03:27.3,23.4517,122.0127,18.4,5.41
1988/7/3,20:39.2,25.1577,121.568,5.31,5.06
1988/7/18,49:27.6,22.6183,121.862,4.23,5.32
1988/7/18,46:32.3,22.3385,121.8932,12.27,5.25
1988/7/20,15:34.9,23.9108,121.7258,32.29,5.82
1988/7/21,39:28.4,22.4413,121.7228,21.08,5.24
1988/8/9,51:35.2,24.1197,122.485,29.89,5.44
1988/8/11,41:01.4,22.1512,121.2727,19.6,5.75
1988/9/18,38:25.9,24.4785,122.4015,62.46,5.44
1988/10/16,09:26.8,22.0207,121.8317,0.75,5.97
1988/10/16,14:21.8,22.0418,121.7517,0.25,5.71
1988/10/16,36:59.1,21.9937,121.8335,9.01,5.55
1988/12/9,24:53.0,25.418,122.4638,25.66,5.27
1988/12/9,11:11.7,21.5437,121.3207,50.87,5.16
1988/12/28,36:39.1,21.9447,121.5952,31.33,5.5
1989/1/8,41:40.3,24.076,120.3343,30.91,5.18
